symbol,name,current,chg,percent,current_year_percent,volume,amount,turnover_rate,pe_ttm,dividend_yield,market_capital
SH603273,C天元,33.01,+14.81,81.37%,247.47%,44346225,1171189972.0,84.47%,98.012,0.227%,7074485334.0
SH600239,云南城投,2.92,+0.27,10.19%,51.3%,162473074,472606265.0,10.12%,,,4688605774.0
SH600510,黑牡丹,6.12,+0.56,10.07%,-3.95%,8451601,51723798.0,0.83%,8.294,3.448%,6368225982.0
SH600502,安徽建工,5.03,+0.46,10.07%,9.61%,75913369,380780208.0,4.42%,5.702,4.97%,8634165708.0
SH603616,韩建河山,7.88,+0.72,10.06%,48.4%,7658200,60346616.0,2.01%,,0.254%,3083585840.0
SH603809,豪能股份,12.17,+1.11,10.04%,16.62%,29291897,348807128.0,7.45%,26.157,1.479%,4783010744.0
SH603388,元成股份,10.09,+0.92,10.03%,16.38%,123949102,1206433301.0,38.05%,,,3286651741.0
SH600853,龙建股份,4.39,+0.4,10.03%,18.07%,52730432,230236725.0,5.25%,12.729,0.797%,4455422177.0
SH600283,钱江水利,14.15,+1.29,10.03%,16.37%,7914709,111993132.0,2.24%,26.461,1.06%,4994889976.0
SH603516,淳中科技,16.8,+1.53,10.02%,28.8%,7233578,119881162.0,3.91%,180.742,0.595%,3111183751.0
SH603099,长白山,14.5,+1.32,10.02%,33.52%,13548721,194023460.0,5.08%,32.27,,3866715000.0
SH603768,常青股份,24.93,+2.27,10.02%,68.09%,21019425,491296518.0,10.3%,34.636,0.381%,5085720000.0
SH603219,富佳股份,13.72,+1.25,10.02%,22.02%,13919160,189618233.0,8.96%,25.245,2.085%,7702408000.0
SH603153,上海建科,16.37,+1.49,10.01%,44.44%,6529870,103949982.0,11.87%,21.707,1.283%,6709426305.0
SH603178,圣龙股份,41.67,+3.79,10.01%,336.54%,17180743,703657637.0,7.27%,132.554,0.288%,9851283081.0
SH603856,东宏股份,13.08,+1.19,10.01%,14.63%,16809312,217852098.0,6.56%,20.654,1.33%,3360259848.0
SH600100,同方股份,8.47,+0.77,10.0%,96.52%,184995270,1533159514.0,6.24%,,,28377021629.0
SH603985,恒润股份,43.0,+3.91,10.0%,74.45%,31460984,1349758151.0,7.14%,176.194,0.093%,18956894129.0
SH603266,天龙股份,18.48,+1.68,10.0%,50.4%,19185960,332665112.0,9.65%,32.224,0.703%,3675427140.0
SH600071,凤凰光学,21.46,+1.95,9.99%,1.8%,14525786,295226460.0,5.16%,,,6042575658.0
SH600418,江淮汽车,16.4,+1.49,9.99%,24.9%,263324171,4177209846.0,12.06%,,0.171%,35817760572.0
SH603110,东方材料,30.82,+2.8,9.99%,-8.62%,9855127,298155694.0,4.9%,343.331,0.487%,6201807880.0
SH603003,龙宇股份,11.23,+1.02,9.99%,52.17%,70244327,766731246.0,17.45%,91.458,,4519440438.0
SH603005,晶方科技,22.68,+2.06,9.99%,22.69%,88644662,1978635851.0,13.59%,130.439,0.309%,14801313326.0
SH603220,中贝通信,43.04,+3.91,9.99%,324.01%,43287559,1793435650.0,12.97%,105.553,0.325%,14477303511.0
SH603788,宁波高发,16.64,+1.51,9.98%,63.22%,1340348,22303391.0,0.6%,32.806,3.005%,3711802732.0
SH600186,莲花健康,7.18,+0.65,9.95%,164.94%,203675298,1426591728.0,11.35%,140.077,,12880210192.0
SH603176,汇通集团,6.74,+0.61,9.95%,-2.36%,7393848,49834536.0,4.93%,48.032,0.371%,3145292478.0
SH601789,宁波建工,4.43,+0.4,9.93%,4.73%,64862989,283563301.0,5.97%,13.659,2.257%,4814517754.0
SH600573,惠泉啤酒,10.48,+0.89,9.28%,-4.07%,15100664,156332151.0,6.04%,47.785,0.477%,2620000000.0
symbol,name,current,chg,percent,current_year_percent,volume,amount,turnover_rate,pe_ttm,dividend_yield,market_capital
SH603273,C天元,33.01,+14.81,81.37%,247.47%,44346225,1171189972.0,84.47%,98.012,0.227%,7074485334.0
SH600239,云南城投,2.92,+0.27,10.19%,51.3%,162473074,472606265.0,10.12%,,,4688605774.0
SH600510,黑牡丹,6.12,+0.56,10.07%,-3.95%,8451601,51723798.0,0.83%,8.294,3.448%,6368225982.0
SH600502,安徽建工,5.03,+0.46,10.07%,9.61%,75913369,380780208.0,4.42%,5.702,4.97%,8634165708.0
SH603616,韩建河山,7.88,+0.72,10.06%,48.4%,7658200,60346616.0,2.01%,,0.254%,3083585840.0
SH603809,豪能股份,12.17,+1.11,10.04%,16.62%,29291897,348807128.0,7.45%,26.157,1.479%,4783010744.0
SH603388,元成股份,10.09,+0.92,10.03%,16.38%,123949102,1206433301.0,38.05%,,,3286651741.0
SH600853,龙建股份,4.39,+0.4,10.03%,18.07%,52730432,230236725.0,5.25%,12.729,0.797%,4455422177.0
SH600283,钱江水利,14.15,+1.29,10.03%,16.37%,7914709,111993132.0,2.24%,26.461,1.06%,4994889976.0
SH603516,淳中科技,16.8,+1.53,10.02%,28.8%,7233578,119881162.0,3.91%,180.742,0.595%,3111183751.0
SH603099,长白山,14.5,+1.32,10.02%,33.52%,13548721,194023460.0,5.08%,32.27,,3866715000.0
SH603768,常青股份,24.93,+2.27,10.02%,68.09%,21019425,491296518.0,10.3%,34.636,0.381%,5085720000.0
SH603219,富佳股份,13.72,+1.25,10.02%,22.02%,13919160,189618233.0,8.96%,25.245,2.085%,7702408000.0
SH603153,上海建科,16.37,+1.49,10.01%,44.44%,6529870,103949982.0,11.87%,21.707,1.283%,6709426305.0
SH603178,圣龙股份,41.67,+3.79,10.01%,336.54%,17180743,703657637.0,7.27%,201.289,0.288%,9851283081.0
SH603856,东宏股份,13.08,+1.19,10.01%,14.63%,16809312,217852098.0,6.56%,22.13,1.33%,3360259848.0
SH600100,同方股份,8.47,+0.77,10.0%,96.52%,184995270,1533159514.0,6.24%,,,28377021629.0
SH603985,恒润股份,43.0,+3.91,10.0%,74.45%,31460984,1349758151.0,7.14%,197.024,0.093%,18956894129.0
SH603266,天龙股份,18.48,+1.68,10.0%,50.4%,19185960,332665112.0,9.65%,32.224,0.703%,3675427140.0
SH600418,江淮汽车,16.4,+1.49,9.99%,24.9%,263324171,4177209846.0,12.06%,,0.171%,35817760572.0
SH600071,凤凰光学,21.46,+1.95,9.99%,1.8%,14525786,295226460.0,5.16%,,,6042575658.0
SH603003,龙宇股份,11.23,+1.02,9.99%,52.17%,70244327,766731246.0,17.45%,91.458,,4519440438.0
SH603110,东方材料,30.82,+2.8,9.99%,-8.62%,9855127,298155694.0,4.9%,343.331,0.487%,6201807880.0
SH603005,晶方科技,22.68,+2.06,9.99%,22.69%,88644662,1978635851.0,13.59%,130.439,0.309%,14801313326.0
SH603220,中贝通信,43.04,+3.91,9.99%,324.01%,43287559,1793435650.0,12.97%,105.553,0.325%,14477303511.0
SH603788,宁波高发,16.64,+1.51,9.98%,63.22%,1340348,22303391.0,0.6%,32.806,3.005%,3711802732.0
SH600186,莲花健康,7.18,+0.65,9.95%,164.94%,203675298,1426591728.0,11.35%,140.077,,12880210192.0
SH603176,汇通集团,6.74,+0.61,9.95%,-2.36%,7393848,49834536.0,4.93%,48.032,0.371%,3145292478.0
SH601789,宁波建工,4.43,+0.4,9.93%,4.73%,64862989,283563301.0,5.97%,13.4,2.257%,4814517754.0
SH600573,惠泉啤酒,10.48,+0.89,9.28%,-4.07%,15100664,156332151.0,6.04%,47.785,0.477%,2620000000.0
SH600019,宝钢股份,6.33,+0.53,9.14%,17.35%,300587901,1867419067.0,1.38%,12.726,3.318%,140919727481.0
SH603815,交建股份,7.54,+0.59,8.49%,1.35%,17885674,133414033.0,2.89%,24.886,1.326%,4666688732.0
SH601686,友发集团,6.94,+0.54,8.44%,19.71%,15108500,104352945.0,2.65%,14.967,2.161%,9922184971.0
SH603101,汇嘉时代,7.24,+0.53,7.9%,14.56%,30521404,219557848.0,6.49%,,,3405696000.0
SH600114,东睦股份,12.34,+0.88,7.68%,47.08%,51284645,622530405.0,8.32%,53.068,0.81%,7606172106.0
SH600801,华新水泥,14.88,+1.06,7.67%,4.51%,15176707,224933001.0,1.13%,13.423,3.454%,30935455257.0
SH600203,福日电子,7.66,+0.54,7.58%,30.94%,93251406,700361416.0,15.73%,,,4542288708.0
SH603316,诚邦股份,6.71,+0.47,7.53%,17.72%,10150500,66947714.0,3.84%,,0.224%,1773211440.0
SH603629,利通电子,30.96,+2.13,7.39%,151.28%,42108767,1274455108.0,16.53%,128.28,0.552%,7888608000.0
SH603633,徕木股份,9.35,+0.64,7.35%,-16.1%,28505485,267152194.0,6.68%,52.851,0.535%,3990681148.0
SH603322,超讯通信,35.16,+2.32,7.06%,115.71%,21489060,732532942.0,13.72%,,,5541526814.0
SH603131,上海沪工,17.01,+1.11,6.98%,54.92%,55727629,937933745.0,17.53%,,0.118%,5408990900.0
SH600892,大晟文化,5.03,+0.31,6.57%,-4.73%,21688880,107225092.0,3.88%,128.444,,2814104866.0
SH600585,海螺水泥,24.93,+1.52,6.49%,-3.51%,40232811,993200429.0,1.01%,10.75,5.937%,132111613294.0
SH600846,同济科技,8.91,+0.54,6.45%,-0.89%,10790421,95019512.0,1.73%,11.846,3.143%,5566625108.0
SH603528,多伦科技,8.3,+0.5,6.41%,29.79%,39014751,319906997.0,6.25%,132.657,0.843%,5180401027.0
SH600083,博信股份,6.98,+0.42,6.4%,-3.86%,11799454,81759218.0,5.18%,968.207,,1605400000.0
SH603887,城地香江,7.99,+0.47,6.25%,16.3%,17654140,140243435.0,3.92%,,,3601556947.0
SH605303,园林股份,11.87,+0.69,6.17%,9.5%,3039510,35861396.0,4.47%,,1.685%,1913888033.0
SH603069,海汽集团,17.4,+1.0,6.1%,-33.99%,10181227,176951280.0,3.22%,215.002,,5498400000.0
SH600963,岳阳林纸,6.49,+0.36,5.87%,21.62%,36447507,233131439.0,2.05%,27.939,2.126%,11701535607.0
SH600603,广汇物流,7.08,+0.39,5.83%,-13.45%,20666231,145956591.0,1.68%,13.179,,8712295069.0
SH601188,龙江交通,4.26,+0.23,5.71%,35.44%,93263975,396314993.0,7.09%,39.938,1.338%,5605642712.0
SH605555,德昌股份,20.75,+1.1,5.6%,46.61%,21121300,435259040.0,15.56%,25.57,1.72%,7726486600.0
SH603669,灵康药业,5.3,+0.28,5.58%,-7.67%,8183579,42772020.0,1.13%,,1.887%,3822564241.0
SH603138,海量数据,16.77,+0.88,5.54%,-18.39%,9172290,152293683.0,3.26%,,0.155%,4748307942.0
SH600802,福建水泥,5.34,+0.28,5.53%,-0.19%,20604167,109498127.0,4.5%,,1.648%,2447046456.0
SH600776,东方通信,12.72,+0.66,5.47%,39.41%,58088205,748147758.0,6.08%,89.917,0.432%,15976320814.0
SH603158,腾龙股份,9.32,+0.48,5.43%,32.91%,95143817,897849375.0,19.39%,31.59,0.858%,4574249532.0
SH600866,星湖科技,5.06,+0.26,5.42%,-14.67%,12837219,64244783.0,1.74%,19.604,,8407051437.0
SH600735,新华锦,6.45,+0.33,5.39%,2.72%,60752033,401626586.0,14.43%,56.215,0.574%,2765619513.0
SH600939,重庆建工,3.37,+0.17,5.31%,-2.81%,22838574,76974668.0,1.2%,120.418,0.712%,6409026146.0
SH603369,今世缘,56.65,+2.85,5.3%,12.78%,9010927,508848535.0,0.72%,24.216,1.289%,71067425000.0
SH600449,宁夏建材,19.4,+0.97,5.26%,67.69%,49779258,966046703.0,10.41%,41.694,2.01%,9276712215.0
SH603916,苏博特,11.88,+0.59,5.23%,-24.47%,7381491,88425667.0,1.76%,22.613,2.525%,4993289702.0
SH605287,德才股份,17.38,+0.86,5.21%,9.58%,4431946,76791958.0,5.04%,11.803,0.823%,2433200000.0
SH603193,润本股份,17.84,+0.88,5.19%,2.65%,18512458,324728096.0,31.45%,35.916,,7217944722.0
SH603958,哈森股份,9.37,+0.46,5.16%,45.27%,21353281,197409616.0,9.73%,,,2071917825.0
SH603903,中持股份,9.99,+0.49,5.16%,12.86%,7829631,78591997.0,3.87%,20.019,1.902%,2550641605.0
SH603828,柯利达,3.68,+0.18,5.14%,13.93%,18301476,66633901.0,3.07%,,,2193133381.0
SH600804,ST鹏博士,3.9,+0.19,5.12%,21.12%,15671653,60561383.0,1.13%,,,6464109233.0
SH603080,新疆火炬,16.9,+0.82,5.1%,23.22%,16175500,272357277.0,11.43%,24.649,1.243%,2391350000.0
SH600666,ST瑞德,2.27,+0.11,5.09%,51.02%,31255046,70068242.0,1.29%,34.85,,6273174154.0
SH600303,ST曙光,4.55,+0.22,5.08%,-25.53%,9683601,43646793.0,1.43%,,,3073999160.0
SH600416,湘电股份,14.1,+0.68,5.07%,-25.0%,15313588,214660738.0,1.37%,57.153,,18688230875.0
SH600771,广誉远,28.34,+1.36,5.04%,1.87%,10720187,301841494.0,2.19%,,,13872178936.0
SH603559,ST通脉,7.75,+0.37,5.01%,-30.18%,2408250,18543968.0,1.68%,,,1110677354.0
SH603275,众辰科技,41.79,+1.99,5.0%,-16.37%,3592299,147132794.0,9.86%,35.87,,6217175653.0
SH600187,国中水务,2.73,+0.13,5.0%,-22.88%,73330266,200516729.0,4.54%,,,4405622411.0
SH600166,福田汽车,3.15,+0.15,5.0%,12.1%,147871480,462955767.0,2.25%,55.672,,25211854946.0
SH600629,华建集团,5.68,+0.27,4.99%,29.7%,30381104,173510058.0,3.22%,13.131,0.352%,5512758296.0
SH600589,*ST榕泰,4.42,+0.21,4.99%,115.61%,21151016,92421063.0,3.0%,,,3111827102.0
SH603356,华菱精工,13.11,+0.62,4.96%,-2.16%,3769000,48813171.0,2.83%,,,1748087400.0
SH603065,宿迁联盛,13.78,+0.65,4.95%,8.65%,3271681,44074147.0,7.81%,49.281,1.451%,5773373142.0
SH600798,宁波海运,3.61,+0.17,4.94%,-2.12%,17278634,61922388.0,1.43%,33.238,0.831%,4355588466.0
SH603977,国泰集团,8.74,+0.41,4.92%,9.73%,27181490,237024557.0,4.38%,32.197,0.915%,5429653577.0
SH603085,天成自控,10.24,+0.48,4.92%,-3.76%,4334580,43686229.0,1.17%,,,4066304000.0
SH603109,神驰机电,15.18,+0.71,4.91%,8.86%,3706449,56000632.0,1.78%,12.617,1.983%,3171605976.0
SH603912,佳力图,9.43,+0.44,4.89%,5.81%,75580112,715311251.0,13.95%,149.271,0.753%,5108917730.0
SH603843,正平股份,3.86,+0.18,4.89%,-9.81%,19949600,76836621.0,3.56%,,0.622%,2700545695.0
SH603291,联合水务,15.97,+0.74,4.86%,173.7%,9803948,156111855.0,23.17%,46.042,0.438%,6758833046.0
SH600839,四川长虹,6.7,+0.31,4.85%,156.3%,939372274,6283933968.0,20.35%,42.928,0.597%,30928836287.0
SH600816,ST建元,2.61,+0.12,4.82%,-28.3%,19179520,49475836.0,0.36%,,,25694009943.0
SH603160,汇顶科技,76.26,+3.47,4.77%,51.91%,16629505,1239207024.0,3.63%,,0.288%,34926556933.0
SH600375,汉马科技,5.96,+0.27,4.75%,-6.14%,11524339,67903185.0,1.76%,,,3899716470.0
SH600569,安阳钢铁,2.21,+0.1,4.74%,6.76%,28380873,62252313.0,0.99%,,4.977%,6348051263.0
